TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"한라산","202603","유튜브","7.00000",,"2.00000","-1.00000","4.60000","817.00000","산봉우리","33.3616666","126.5291666","제주특별자치도 제주시 오등동 산57번지 한라산골프장내","제주특별자치도","서귀포시","3572457.00000","3200932.00000","11.60000","88373987.00000","74731035.00000","13642952.00000"
"서문시장","202603","유튜브","3.00000","1.00000","2.00000","-0.50000","4.20000","18537.00000","재래시장","35.8688497","128.5807879","대구광역시 중구 큰장로26길 45","대구광역시","중구","6529876.00000","5833100.00000","11.90000","82977129.00000","80009040.00000","2968089.00000"
"인사동","202603","유튜브","6.00000","2.00000","1.00000","1.00000","4.30000","13535.00000","관광 명소","37.5717174","126.9860732","서울특별시 종로구 인사동 153-10","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"해동용궁사","202603","유튜브","1.00000","1.00000",,"1.00000","4.50000","26546.00000","불교사찰","35.1883491","129.2233197","부산광역시 기장군 기장읍 용궁길 86 해동용궁사","부산광역시","기장군","3419241.00000","3392484.00000","0.80000","95858078.00000","83312617.00000","12545461.00000"
"가로수길","202603","유튜브","3.00000",,"2.00000","-1.00000","4.30000","299.00000","관광 명소","37.5210566","127.0228686","서울특별시 강남구 신사동 667-13","서울특별시","강남구","20391298.00000","19186622.00000","6.30000","761281418.00000","516273492.00000","245007926.00000"
"망원시장","202603","유튜브","1.00000",,,,"4.30000","8716.00000","재래시장","37.5559018","126.9062854","서울특별시 마포구 포은로6길 27","서울특별시","마포구","11178818.00000","10711578.00000","4.40000","246294312.00000","179744728.00000","66549584.00000"
"서울광장","202603","유튜브","3.00000","2.00000",,"1.00000","4.30000","3437.00000","공원","37.5655675","126.978014","서울특별시 중구 태평로2가 375","서울특별시","중구","13062427.00000","12871649.00000","1.50000","942633456.00000","678991116.00000","263642340.00000"
"감천문화마을","202603","유튜브","1.00000","1.00000",,"1.00000","4.40000","31959.00000","관광 명소","35.0973904","129.0105924","부산광역시 사하구 감내2로 203","부산광역시","사하구","2290390.00000","2246699.00000","1.90000","24587519.00000","23195697.00000","1391822.00000"
"군산근대역사박물관","202603","유튜브","1.00000","1.00000",,"1.00000","4.10000","5431.00000","지역사 박물관","35.9906994","126.7119653","전북특별자치도 군산시 장미동 1-67","전북특별자치도","군산시","2353410.00000","2281318.00000","3.20000","56981358.00000","55678972.00000","1302386.00000"
"마포대교","202603","유튜브","2.00000","2.00000",,"1.00000","4.50000","327.00000","다리","37.5337975","126.9371138","서울 영등포구 여의도동","서울특별시","마포구","11178818.00000","10711578.00000","4.40000","246294312.00000","179744728.00000","66549584.00000"
"합천영상테마파크","202603","유튜브","3.00000",,,,"4.10000","4028.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","487826.00000","486017.00000","0.40000","4069996.00000","4055652.00000","14344.00000"
"서울대학교","202603","유튜브","67.00000","21.00000","37.00000","-0.40000","4.40000","2006.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","6865366.00000","6193810.00000","10.80000","74089104.00000","72314424.00000","1774680.00000"
"동궁과 월지","202603","유튜브","4.00000","1.00000",,"1.00000","4.50000","20334.00000","역사적 명소","35.8348173","129.2265645","경상북도 경주시 인왕동 517","경상북도","경주시","4040771.00000","3896246.00000","3.70000","83221991.00000","80971767.00000","2250224.00000"
"명동대성당","202603","유튜브","30.00000",,"2.00000","-1.00000","4.70000","9943.00000","대성당","37.5633245","126.9872338","서울특별시 중구 명동길 74","서울특별시","중구","13062427.00000","12871649.00000","1.50000","942633456.00000","678991116.00000","263642340.00000"
"함덕해수욕장","202603","유튜브","1.00000","1.00000",,"1.00000","4.50000","11645.00000","해변","33.5434231","126.6697752","제주특별자치도 제주시 조천읍 함덕리 산14-1","제주특별자치도","제주시","5021068.00000","4567598.00000","9.90000","172754900.00000","144494112.00000","28260788.00000"
"해운대해수욕장","202603","유튜브","39.00000","26.00000","5.00000","4.20000","4.60000","2666.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5866066.00000","5662184.00000","3.60000","213290962.00000","189829089.00000","23461873.00000"
"마두공원","202603","유튜브","18.00000",,"1.00000","-1.00000","4.40000","233.00000","공원","37.652185","126.777641","고양시 마두역","경기도","고양시 일산동구","4818660.00000","4826650.00000","-0.20000","97161489.00000","95521010.00000","1640479.00000"
"자갈치시장","202603","유튜브","4.00000","1.00000",,"1.00000","4.00000","26752.00000","수산 시장","35.0966394","129.0305933","부산광역시 중구 남포동5가 105-1","부산광역시","중구","3425422.00000","3258675.00000","5.10000","47102855.00000","35129429.00000","11973426.00000"
"해인사","202603","유튜브","1.00000",,,,"4.60000","4176.00000","불교사찰","35.8011781","128.098098","경상남도 합천군 가야면 해인사길 122","경상남도","합천군","487826.00000","486017.00000","0.40000","4069996.00000","4055652.00000","14344.00000"
"익선동","202603","유튜브","5.00000","4.00000",,"1.00000","4.30000","8218.00000","명소","37.5743484","126.9897057","서울특별시 종로구 익선동 93","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"한가람미술관","202603","유튜브","2.00000",,,,"4.50000","7063.00000","미술관","37.4803378","127.0142466","서울특별시 서초구 남부순환로 2406","서울특별시","서초구","17253660.00000","15777590.00000","9.40000","506187388.00000","444313195.00000","61874193.00000"
"박물관은살아있다","202603","유튜브","1.00000",,,,"4.20000","1283.00000","미술관","33.254918","126.4087189","제주특별자치도 서귀포시 중문관광로 42","제주특별자치도","서귀포시","3572457.00000","3200932.00000","11.60000","88373987.00000","74731035.00000","13642952.00000"
"거제","202603","유튜브","9.00000","3.00000","3.00000",,"4.30000","219.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1818450.00000","1853660.00000","-1.90000","19619557.00000","18983370.00000","636187.00000"
"피카디리극장","202603","유튜브","3.00000","2.00000",,"1.00000","4.00000","2434.00000","영화관","37.5709","126.9913","서울특별시 종로구 돈화문로5가길 1","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"부천시청","202603","유튜브","1.00000","1.00000",,"1.00000","4.20000","367.00000","시청","37.504681","126.763618","경기도 부천시 원미구 중동 길주로 부천시청","경기도","부천시 원미구","6222335.00000","5888939.00000","5.70000","103875569.00000","100771741.00000","3103828.00000"
"경기도박물관","202603","유튜브","5.00000","5.00000",,"1.00000","4.30000","740.00000","박물관","37.4142849","127.4681396","경기도 여주시 산북면 용담리 산43-1","경기도","여주시","2024214.00000","1997418.00000","1.30000","102909856.00000","98016050.00000","4893806.00000"
"방산시장","202603","유튜브","1.00000","1.00000",,"1.00000","4.00000","4008.00000","시장","37.5687294","127.0008004","서울특별시 중구 동호로37길 240 20 방산종합시장 A동 1층","서울특별시","중구","13062427.00000","12871649.00000","1.50000","942633456.00000","678991116.00000","263642340.00000"
"DDP 동대문디자인플라자","202603","유튜브","1.00000","1.00000",,"1.00000","4.30000","31384.00000","문화센터","37.5665256","127.0092236","서울특별시 중구 을지로 281","서울특별시","중구","13062427.00000","12871649.00000","1.50000","942633456.00000","678991116.00000","263642340.00000"
"성북동","202603","유튜브","1.00000","1.00000",,"1.00000","4.60000","3147.00000","불교사찰","37.5952093","126.9978087","서울특별시 성북동성당","서울특별시","성북구","6592750.00000","5623583.00000","17.20000","67447294.00000","64861394.00000","2585900.00000"
"황리단길","202603","유튜브","5.00000","2.00000",,"1.00000","4.20000","7643.00000","관광 명소","35.8376609","129.209724","경상북도 경주시 황남동 포석로 일대","경상북도","경주시","4040771.00000","3896246.00000","3.70000","83221991.00000","80971767.00000","2250224.00000"
"효창공원","202603","유튜브","1.00000","1.00000",,"1.00000","4.30000","2988.00000","공원","37.5450482","126.9603142","서울특별시 용산구 효창원로 177-18 효창공원","서울특별시","용산구","10501456.00000","9982640.00000","5.20000","197037746.00000","162333055.00000","34704691.00000"
"부산영화체험박물관","202603","유튜브","2.00000",,"2.00000","-1.00000","4.20000","946.00000","박물관","35.101702","129.0337655","부산광역시 중구 대청로126번길 12","부산광역시","중구","3425422.00000","3258675.00000","5.10000","47102855.00000","35129429.00000","11973426.00000"
"인천항","202603","유튜브","1.00000","1.00000",,"1.00000","4.20000","45.00000","항구","37.4594575","126.6256454","인천광역시 중구 항동7가 1-58","인천광역시","중구","8747074.00000","8447425.00000","3.50000","275820263.00000","200508461.00000","75311802.00000"
"건대입구","202603","유튜브","2.00000",,,,"4.10000","857.00000","쇼핑몰","37.540372","127.069276","서울특별시 화양동 건대입구","서울특별시","광진구","7439390.00000","6797980.00000","9.40000","112101007.00000","95405056.00000","16695951.00000"
"국립중앙과학관","202603","유튜브","2.00000","2.00000",,"1.00000","4.50000","5216.00000","과학박물관","36.3755897","127.3766119","대전광역시 유성구 구성동 411-1","대전광역시","유성구","6333688.00000","5664480.00000","11.80000","167316974.00000","164968381.00000","2348593.00000"
"성산 일출봉","202603","유튜브","11.00000","5.00000","4.00000","0.20000","4.70000","1790.00000","산봉우리","33.4180535","126.8648302","제주특별자치도 서귀포시 성산읍 난산리 1672","제주특별자치도","서귀포시","3572457.00000","3200932.00000","11.60000","88373987.00000","74731035.00000","13642952.00000"
"이화동 벽화마을","202603","유튜브","1.00000",,"1.00000","-1.00000","4.10000","4772.00000","관광 명소","37.5779788","127.0071915","서울특별시 종로구 낙산4길 49","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"성수동","202603","유튜브","40.00000","18.00000","12.00000","0.50000","4.40000","40.00000","관광 명소","37.5406846","127.0566319","서울특별시 성동구 성수동2가 315-4","서울특별시","성동구","7576954.00000","6828434.00000","11.00000","140942148.00000","98939568.00000","42002580.00000"
"국립해양박물관","202603","유튜브","1.00000",,"1.00000","-1.00000","4.30000","5877.00000","해양 박물관","35.0783256","129.0798565","부산광역시 영도구 해양로301번길 45","부산광역시","영도구","1683815.00000","1579728.00000","6.60000","9117932.00000","8062550.00000","1055382.00000"
"포항시립미술관","202603","유튜브","1.00000","1.00000",,"1.00000","4.40000","432.00000","미술관","36.0663929","129.3910595","경상북도 포항시 북구 환호동 352","경상북도","포항시 북구","2631080.00000","2600350.00000","1.20000","40473140.00000","39815735.00000","657405.00000"
"흰여울문화마을","202603","유튜브","11.00000","1.00000",,"1.00000","4.40000","8634.00000","관광 명소","35.0782798","129.0453198","부산광역시 영도구 영선동4가 1043 흰여울문화마을","부산광역시","영도구","1683815.00000","1579728.00000","6.60000","9117932.00000","8062550.00000","1055382.00000"
"63빌딩","202603","유튜브","6.00000","6.00000",,"1.00000","4.20000","9571.00000","문화적 랜드마크","37.5198332","126.9400724","서울특별시 영등포구 63로 50","서울특별시","영등포구","10886124.00000","10180622.00000","6.90000","283861222.00000","255649939.00000","28211283.00000"
"석촌호수공원","202603","유튜브","7.00000","2.00000","5.00000","-0.60000","4.50000","5102.00000","석촌호수공원","37.5113096","127.1051525","서울특별시 송파구 송파나루길 206","서울특별시","송파구","11907262.00000","11296638.00000","5.40000","327524706.00000","287557807.00000","39966899.00000"
