ATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,CL_NM,LWPRT_CL_NM,TY_NM,LWPRT_DATA_TY_NM,CTPRVN_NM,SIGNGU_NM,CTLSTT_LA,CTLSTT_LO,REGIST_DE,MAIN_THUMB_URL,CNTNTS_URL,CORE_KWRD_CN,OPN_DE
82442,보령 신경섭 가옥,보령 신경섭 가옥,생활과 민속,생활,시청각물,VR,충청남도,보령시,36.42082646,126.6679838,20230101,https://minio.nculture.org/amsweb-opt/3ds/91/84696/84696_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-bolyeongsi-bolyeong-singyeongseob-gaog/,"양반집, 신경섭, 충청남도",20231230
82441,보령 성주사지 석탑,보령 성주사지 석탑,문화유산,조각,시청각물,VR,충청남도,보령시,36.34473631,126.6561288,20230101,https://minio.nculture.org/amsweb-opt/3ds/92/84697/84697_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-bolyeongsi-seongjusaji-seogtab/,"성주사지, 보령의석탑, 탑",20231230
82440,부여 능산리 고분군,부여 능산리 고분군,문화유산,조각,시청각물,VR,충청남도,부여군,36.27688354,126.9422576,20230101,https://minio.nculture.org/amsweb-opt/3ds/93/84698/84698_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-buyeogun-neungsanligobungun/,"능산리, 고분군, 부여능산리",20231230
82439,부여 저동리 쌀바위,부여 저동리 쌀바위,문화유산,조각,시청각물,VR,충청남도,부여군,36.27971707,126.7678817,20230101,https://minio.nculture.org/amsweb-opt/3ds/94/84699/84699_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-buyeogun-buyeojeodongli-ssalbawi/,"부여군, 저동리, 쌀바위",20231230
82438,부여 중동 석조,부여 중동 석조,문화유산,조각,시청각물,VR,충청남도,부여군,36.46552912,127.11218,20230101,https://minio.nculture.org/amsweb-opt/3ds/95/84700/84700_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-buyeogun-buyeojungdongseogjo/,"중동석조, 부여군, 돌",20231230
82437,부여 정림사지 오층석탑,부여 정림사지 오층석탑,문화유산,조각,시청각물,VR,충청남도,부여군,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/96/84701/84701_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-buyeogun-jeonglimsaji-ocheungseogtab/,"부여, 정림사지, 오층석탑",20231230
82436,연서 효교비,연서 효교비,문화유산,기타,시청각물,VR,세종특별자치시,,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/97/84702/84702_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-sejongsi-yeonseohyogyobi/,"세종, 효자, 효교동, 홍상직, 홍연경",20231230
82435,운주산성,운주산성,문화유산,건축유적,시청각물,VR,세종특별자치시,,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/98/84703/84703_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-sejongsi-unjusanseong/,"포곡식산성, 고산산성, 운주산, 백제부흥운동, 백제고산제",20231230
82434,아산 김육비,아산 김육비,문화유산,조각,시청각물,VR,충청남도,아산시,36.77840705,126.9313538,20230101,https://minio.nculture.org/amsweb-opt/3ds/99/84704/84704_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-asansi-gim-yugbi/,"김육비, 아산시, 충청남도",20231230
82433,아산 윤승구 가옥,아산 윤승구 가옥,생활과 민속,생활,시청각물,VR,충청남도,아산시,,,20230101,https://minio.nculture.org/amsweb-opt/3ds/100/84705/84705_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-asansi-asan-yunseung-gu-gaog/,"충청남도, 아산시, 가옥",20231230
82432,예산 이성만 형제 효제비,예산 이성만 형제 효제비,문화유산,조각,시청각물,VR,충청남도,예산군,36.60650954,126.7889448,20230101,https://minio.nculture.org/amsweb-opt/3ds/101/84706/84706_thumbnail.jpg,https://vr.nculture.org/vr/2020-chungnam-yesangun-yesan-iseongman-hyeongje-hyojebi/,"이성만형제, 효제비, 예산군",20231230
